name,business,phone,hook
Chris,S.eight Electrical,+61431275998,5 stars on Google but one of your own reviews says your website's gone dead.
Brad,Sunnystate Plumbing,+61406398769,Your Google reviews are spot on but there's no website behind them.
there,Freeman Electrical,+61439821676,People rate you on Google for turning up on time - but there's no website for them to find you.
Craig,Craig Eveleigh Plumbing,+61414375686,95 five-star reviews is huge - but tap through and there's no website there.
Keith,Logan City Plumbing & Gas,+61423548584,Reviews say honest and half the price of Origin - but no website for people to find you.
Gavin,GB Painters,+61413958596,Strong Google reviews but no website for the next person searching painters in Hendra.
Oliver,Vince's Painting,+61422244218,40 five-star reviews but no website for people to check you out before ringing.
Andy,Andy's Painting & Decorating,+61473201398,A review calls you a master craftsman - but there's no website for Chermside to find you on.
Daniel,Mow On Lawn Solutions,+61400465361,114 reviews at 4.9 is serious - but no website to show your turf and garden work.
Dan,DC Decorators & Painters,+61406634769,Great Google reviews (the Queenslander cottage one) but no website to show the work.
